100;combined;678;1100;58;100;quick;565;239;19;100;merge;549;1344;130;100;insertion;2878;2980;76;100;dp_quick;650;310;23
100;combined;649;1072;42;100;quick;784;353;23;100;merge;534;1344;172;100;insertion;3069;3173;80;100;dp_quick;647;289;21
100;combined;614;1054;41;100;quick;619;256;19;100;merge;529;1344;115;100;insertion;2601;2705;72;100;dp_quick;596;297;22
100;combined;676;1099;43;100;quick;640;300;20;100;merge;542;1344;114;100;insertion;2692;2796;70;100;dp_quick;629;338;22
100;combined;618;1038;39;100;quick;643;308;20;100;merge;543;1344;109;100;insertion;2535;2639;66;100;dp_quick;605;284;20
100;combined;659;1090;41;100;quick;591;279;19;100;merge;545;1344;110;100;insertion;2594;2698;67;100;dp_quick;577;264;19
100;combined;657;1084;43;100;quick;619;314;20;100;merge;548;1344;110;100;insertion;2435;2540;64;100;dp_quick;620;254;19
100;combined;668;1101;41;100;quick;723;310;21;100;merge;543;1344;110;100;insertion;2281;2385;60;100;dp_quick;703;326;22
100;combined;634;1057;41;100;quick;818;335;22;100;merge;544;1344;108;100;insertion;2492;2595;65;100;dp_quick;731;240;20
100;combined;622;1042;40;100;quick;693;364;21;100;merge;542;1344;108;100;insertion;2463;2568;64;100;dp_quick;722;273;20
200;combined;1488;2539;94;200;quick;1588;669;45;200;merge;1277;3088;229;200;insertion;10579;10783;270;200;dp_quick;1516;716;48
200;combined;1523;2593;94;200;quick;1530;775;47;200;merge;1262;3088;227;200;insertion;10233;10432;259;200;dp_quick;1888;579;48
200;combined;1552;2599;94;200;quick;1627;812;49;200;merge;1295;3088;229;200;insertion;9886;10092;250;200;dp_quick;1475;705;47
200;combined;1509;2555;94;200;quick;1695;838;50;200;merge;1291;3088;228;200;insertion;10434;10640;264;200;dp_quick;1559;654;46
200;combined;1477;2532;93;200;quick;1561;807;47;200;merge;1274;3088;221;200;insertion;10398;10606;295;200;dp_quick;1580;617;47
200;combined;1504;2550;92;200;quick;1548;657;44;200;merge;1277;3088;218;200;insertion;10157;10357;258;200;dp_quick;2081;525;48
200;combined;1497;2546;93;200;quick;1545;682;45;200;merge;1277;3088;214;200;insertion;9496;9696;240;200;dp_quick;1537;617;46
200;combined;1484;2531;93;200;quick;1823;880;52;200;merge;1281;3088;215;200;insertion;10452;10656;266;200;dp_quick;1480;621;45
200;combined;1484;2538;92;200;quick;1498;624;43;200;merge;1271;3088;214;200;insertion;9697;9902;246;200;dp_quick;1560;676;47
200;combined;1561;2610;93;200;quick;1465;631;44;200;merge;1280;3088;218;200;insertion;9794;9998;267;200;dp_quick;1591;661;47
300;combined;2769;4330;139;300;quick;2906;1043;76;300;merge;2080;4976;344;300;insertion;22832;23139;573;300;dp_quick;2647;1035;75
300;combined;2743;4300;139;300;quick;2767;1254;79;300;merge;2086;4976;328;300;insertion;21786;22092;547;300;dp_quick;2818;1087;78
300;combined;2722;4266;138;300;quick;2570;1187;74;300;merge;2094;4976;330;300;insertion;24596;24902;620;300;dp_quick;2857;955;76
300;combined;2799;4363;139;300;quick;2444;1266;75;300;merge;2094;4976;328;300;insertion;22823;23130;572;300;dp_quick;2369;1134;74
300;combined;2770;4329;142;300;quick;2696;1312;79;300;merge;2096;4976;339;300;insertion;24865;25172;623;300;dp_quick;2728;955;74
