3700;combined;44219;78336;2445;3700;dp_quick;49986;16799;1278;3700;insertion;3480537;3484244;85772;3700;merge;39280;88008;4767;3700;quick;53636;28211;1530
3800;combined;46012;81026;2549;3800;dp_quick;49450;17804;1321;3800;insertion;3605310;3609115;88861;3800;merge;40390;90608;4874;3800;quick;50254;23703;1410
3900;combined;47385;83310;2616;3900;dp_quick;58105;18059;1444;3900;insertion;3861388;3865296;95134;3900;merge;41641;93208;5012;3900;quick;54701;25085;1537
4000;combined;49339;86211;2663;4000;dp_quick;57852;19316;1456;4000;insertion;4008530;4012533;98931;4000;merge;42763;95808;5141;4000;quick;58439;27798;1598
4100;combined;51012;88786;2746;4100;dp_quick;59244;19073;1471;4100;insertion;4185760;4189867;103131;4100;merge;44020;98416;5275;4100;quick;60122;29839;1682
4200;combined;52354;90954;2778;4200;dp_quick;55439;21343;1503;4200;insertion;4446919;4451131;109530;4200;merge;45224;101216;5592;4200;quick;55032;25200;1547
4300;combined;54335;93926;2860;4300;dp_quick;60476;21434;1561;4300;insertion;4580885;4585194;112798;4300;merge;46456;104016;5539;4300;quick;56194;24594;1548
4400;combined;55847;96334;2936;4400;dp_quick;60117;20960;1575;4400;insertion;4742360;4746768;116808;4400;merge;47775;106816;5677;4400;quick;59481;25912;1631
4500;combined;57689;99063;3007;4500;dp_quick;60694;21544;1597;4500;insertion;5014217;5018724;123459;4500;merge;48974;109616;5849;4500;quick;62890;27546;1708
4600;combined;59757;102071;3099;4600;dp_quick;66060;26837;1780;4600;insertion;5291983;5296590;130367;4600;merge;50278;112416;5994;4600;quick;65623;32180;1844
4700;combined;61265;104412;3138;4700;dp_quick;62020;24555;1708;4700;insertion;5461837;5466541;134565;4700;merge;51527;115216;6171;4700;quick;62744;26968;1708
4800;combined;63215;107318;3256;4800;dp_quick;63450;27869;1797;4800;insertion;5787284;5792095;142445;4800;merge;52745;118016;6274;4800;quick;73733;31522;1948
4900;combined;65261;110314;3291;4900;dp_quick;69039;28014;1862;4900;insertion;5916201;5921111;145786;4900;merge;53919;120816;6404;4900;quick;70328;36811;2019
5000;combined;66536;112440;3360;5000;dp_quick;69346;23950;1806;5000;insertion;6264764;6269771;154226;5000;merge;55242;123616;6538;5000;quick;67986;33435;1941
5100;combined;68869;115669;3457;5100;dp_quick;71873;26421;1887;5100;insertion;6616368;6621476;162902;5100;merge;56483;126416;6708;5100;quick;69038;32475;1942
5200;combined;70538;118226;3503;5200;dp_quick;75555;24784;1894;5200;insertion;6811447;6816654;167797;5200;merge;57794;129216;6840;5200;quick;72417;37112;2084
5300;combined;72411;121033;3574;5300;dp_quick;72375;28064;1955;5300;insertion;7041272;7046583;173307;5300;merge;58930;132016;6952;5300;quick;71647;34469;2042
5400;combined;74447;123956;3648;5400;dp_quick;76647;26934;1971;5400;insertion;7099546;7104950;174758;5400;merge;60232;134816;7102;5400;quick;78241;39119;2213
5500;combined;75970;126388;3730;5500;dp_quick;78146;28504;2042;5500;insertion;7398937;7404451;183338;5500;merge;61521;137616;7243;5500;quick;74707;34197;2087
5600;combined;78214;129532;3802;5600;dp_quick;76908;29731;2074;5600;insertion;7976720;7982327;196446;5600;merge;62828;140416;7398;5600;quick;85664;38244;2287
5700;combined;80710;132939;3882;5700;dp_quick;81687;28766;2115;5700;insertion;8115257;8120967;199845;5700;merge;64062;143216;7507;5700;quick;82516;33924;2184
5800;combined;82442;135554;3939;5800;dp_quick;85270;34048;2283;5800;insertion;8568026;8573838;211034;5800;merge;65299;146016;7653;5800;quick;79994;37622;2238
5900;combined;84201;138160;4019;5900;dp_quick;86626;29990;2202;5900;insertion;8780949;8786855;216390;5900;merge;66576;148816;7800;5900;quick;82302;41098;2342
6000;combined;86307;141253;4128;6000;dp_quick;81238;30177;2184;6000;insertion;8953643;8959649;220419;6000;merge;67809;151616;7956;6000;quick;93533;39591;2427
6100;combined;87853;143716;4183;6100;dp_quick;83916;31516;2255;6100;insertion;9247729;9253837;227772;6100;merge;69109;154416;8102;6100;quick;87644;41292;2423
6200;combined;87341;145638;4323;6200;dp_quick;106233;34271;2524;6200;insertion;9689641;9695857;238733;6200;merge;70389;157216;8257;6200;quick;93681;45267;2587
6300;combined;83424;145339;4439;6300;dp_quick;91835;32991;2391;6300;insertion;9887712;9894020;243664;6300;merge;71656;160016;8349;6300;quick;101942;53901;2861
